date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:08	1360/1360	---M--	200	added ('OK')	image/png	etag:%22550-5a1a6ac0-41083d1a;;;%22	https://maclift.com.vn/libraries/jquery/lightbox2/dist/images/prev.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/libraries/jquery/lightbox2/dist/images/prev.png	(from https://maclift.com.vn/)
14:21:08	1350/1350	---M--	200	added ('OK')	image/png	etag:%22546-5a1a6ac0-41083d19;;;%22	https://maclift.com.vn/libraries/jquery/lightbox2/dist/images/next.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/libraries/jquery/lightbox2/dist/images/next.png	(from https://maclift.com.vn/)
14:21:08	280/280	---M--	200	added ('OK')	image/png	etag:%22118-5a1a6ac0-41083d17;;;%22	https://maclift.com.vn/libraries/jquery/lightbox2/dist/images/close.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/libraries/jquery/lightbox2/dist/images/close.png	(from https://maclift.com.vn/)
14:21:08	738/738	---M-Z	200	added ('OK')	image/svg+xml	etag:%222e2-5e5b938c-3dab5c6;gz%22	https://maclift.com.vn/blocks/certifications/assets/images/tick.svg	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/blocks/certifications/assets/images/tick.svg	(from https://maclift.com.vn/)
14:21:09	1861/1861	---M--	200	added ('OK')	image/png	etag:%22745-57ce2fe8-c1cd49c1;;;%22	https://maclift.com.vn/blocks/partners/assets/images/user2.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/blocks/partners/assets/images/user2.png	(from https://maclift.com.vn/)
14:21:09	954/954	---M--	200	added ('OK')	image/png	etag:%223ba-57dd738e-830b45f6;;;%22	https://maclift.com.vn/blocks/mainmenu/assets/images/icon-click.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/blocks/mainmenu/assets/images/icon-click.png	(from https://maclift.com.vn/)
14:21:09	944/944	---M--	200	added ('OK')	image/png	etag:%223b0-57dd738e-830b45f5;;;%22	https://maclift.com.vn/blocks/mainmenu/assets/images/icon-click-active.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/blocks/mainmenu/assets/images/icon-click-active.png	(from https://maclift.com.vn/)
14:21:09	8901/8901	---M--	200	added ('OK')	image/png	etag:%2222c5-58adbc58-830b45f4;;;%22	https://maclift.com.vn/blocks/mainmenu/assets/images/bo-cong-thuong.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/blocks/mainmenu/assets/images/bo-cong-thuong.png	(from https://maclift.com.vn/)
14:21:10	7089/7089	---M-Z	200	added ('OK')	application/xml	date:Mon,%2021%20Apr%202025%2007:21:11%20GMT	https://maclift.com.vn/rss.xml	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/rss.xml	(from https://maclift.com.vn/)
14:21:10	11055/11055	---M--	200	added ('OK')	image/png	etag:%222b2f-5e501f32-c1cd6e85;;;%22	https://maclift.com.vn/images/config/logo_1582309169.png	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/images/config/logo_1582309169.png	(from https://maclift.com.vn/)
14:21:11	116714/116714	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2007:21:11%20GMT	https://maclift.com.vn/tim-kiem/keyword.html	C:/My%20Web%20Sites/web_MMM/maclift.com.vn/tim-kiem/keyword.html	(from https://maclift.com.vn/)
